latent_mae,latent_mse,z_init_anchor_mse,z_pred_std,z_target_std,checkpoint_step,sample_index,name,ordinal,pixel_mse,pixel_mae,ssim_avg,height,width,frames
0.26467815041542053,0.19555196166038513,0.0,0.8720884919166565,0.9060263633728027,20000,0,ep0_v0_s00000,0,0.007481666747480631,0.03803817555308342,0.8398657242457072,192,320,33
0.2719617486000061,0.21925993263721466,0.0,0.9652675986289978,0.9997245073318481,20000,1,ep15904_v0_s00044,96037,0.017789464443922043,0.058734796941280365,0.7653944582650156,192,320,33
0.31720736622810364,0.2582111358642578,0.0,0.7827162742614746,0.8086776733398438,20000,2,ep21707_v0_s00092,192074,0.017085127532482147,0.05647796764969826,0.7870975245128978,192,320,33
0.31764698028564453,0.28027284145355225,0.0,0.9340240955352783,0.9526382088661194,20000,3,ep27407_v0_s00044,288111,0.010668633505702019,0.0483265221118927,0.7886798616611597,192,320,33
0.35072338581085205,0.3686605393886566,0.0,0.8522350788116455,0.8864190578460693,20000,4,ep33154_v0_s00068,384147,0.03923565521836281,0.08383168280124664,0.7786382599310442,192,320,33
0.2594705820083618,0.1892976611852646,0.0,0.9034282565116882,0.9245812296867371,20000,5,ep3887_v0_s00048,480184,0.011722300201654434,0.04841576889157295,0.8193812984408755,192,320,33
0.29957884550094604,0.2486070841550827,0.0,0.8623206615447998,0.9170283675193787,20000,6,ep44685_v0_s00040,576221,0.016808247193694115,0.05785199999809265,0.8149922959732286,192,320,33
0.3430851399898529,0.3072420358657837,0.0,0.9095210433006287,0.945270836353302,20000,7,ep50342_v0_s00044,672258,0.03275945037603378,0.07765405625104904,0.7228949575713186,192,320,33
0.2975350320339203,0.26660946011543274,0.0,0.972567081451416,0.9907677173614502,20000,8,ep55997_v0_s00088,768295,0.024464141577482224,0.058351561427116394,0.7954129685055126,192,320,33
0.3643338978290558,0.3627595603466034,0.0,0.9725228548049927,0.9861659407615662,20000,9,ep61731_v0_s00048,864332,0.02614632062613964,0.0763852521777153,0.7129457719398268,192,320,33
0.3064844310283661,0.25308674573898315,0.0,0.9968698024749756,1.0071196556091309,20000,10,ep67505_v0_s00024,960369,0.02169027179479599,0.07258792966604233,0.7141322186498931,192,320,33
0.2617868483066559,0.18463881313800812,0.0,0.814190149307251,0.8434541821479797,20000,11,ep73128_v0_s00036,1056406,0.011408275924623013,0.04380202293395996,0.8077288577050874,192,320,33
0.2651905119419098,0.19031591713428497,0.0,0.7790216207504272,0.7970337867736816,20000,12,ep78879_v0_s00036,1152442,0.00629518274217844,0.03252435475587845,0.8520148739670262,192,320,33
0.26096799969673157,0.19046650826931,0.0,0.9181380867958069,0.9310460090637207,20000,13,ep84643_v0_s00032,1248479,0.015763800591230392,0.04528173431754112,0.8436900250839464,192,320,33
0.21782229840755463,0.12484165281057358,0.0,0.9664794206619263,0.9730261564254761,20000,14,ep90360_v0_s00236,1344516,0.010577300563454628,0.03702035918831825,0.8675208416852084,192,320,33
0.35080909729003906,0.3529435992240906,0.0,0.8800456523895264,0.9138997197151184,20000,15,ep9_v0_s00040,1440553,0.03348132222890854,0.0898251086473465,0.6898385674664469,192,320,33
